x,y,z
19714,35290,67070
19806,35282,67070
19932,35306,67070
20073,35316,67070
20121,35281,67070
20178,35285,67070
20266,35270,67070
20331,35270,67070
20537,35298,67070
20604,35320,67070
20610,35285,67070
20640,35295,67070
20743,35313,67070
20930,35292,67070
20997,35318,67070
21049,35299,67070
21091,35324,67070
21092,35278,67070
21125,35312,67070
21129,35270,67070
21165,35287,67070
21161,35327,67070
21205,35274,67070
21246,35301,67070
21206,35318,67070
21299,35289,67070
21299,35320,67070
21333,35301,67070
21358,35312,67070
21444,35313,67070
22199,35296,67070
22491,35319,67070
24092,35266,67070
24212,35298,67070
25470,35314,67070
25846,35269,67070
25978,35292,67070
26030,35273,67070
25985,35311,67070
26033,35290,67070
26088,35307,67070
26129,35305,67070
26152,35284,67070
26150,35308,67070
26446,35326,67070
26604,35307,67070
26694,35309,67070
27474,35322,67070
27577,35327,67070
19784,35386,67070
19915,35365,67070
20013,35358,67070
20150,35344,67070
20103,35368,67070
20134,35389,67070
20250,35336,67070
20464,35362,67070
20539,35358,67070
20634,35358,67070
20849,35383,67070
21055,35342,67070
21016,35371,67070
21112,35379,67070
21129,35344,67070
21168,35382,67070
21231,35332,67070
21220,35369,67070
21255,35342,67070
21369,35379,67070
21953,35333,67070
22296,35372,67070
24022,35364,67070
24280,35379,67070
24369,35348,67070
24450,35391,67070
24548,35328,67070
24741,35346,67070
25109,35336,67070
26083,35369,67070
26069,35331,67070
26152,35382,67070
26120,35355,67070
26160,35342,67070
26191,35373,67070
26577,35357,67070
26625,35360,67070
27484,35383,67070
19176,35404,67070
19354,35438,67070
19997,35433,67070
20084,35422,67070
20192,35446,67070
20167,35396,67070
20243,35415,67070
20278,35452,67070
20349,35396,67070
20434,35409,67070
20501,35450,67070
20547,35422,67070
20596,35424,67070
20713,35449,67070
20804,35424,67070
20860,35441,67070
20932,35395,67070
21049,35420,67070
21108,35439,67070
21139,35408,67070
21182,35442,67070
21293,35402,67070
21475,35415,67070
22397,35455,67070
24187,35434,67070
24231,35444,67070
24347,35415,67070
24659,35404,67070
24762,35453,67070
26084,35428,67070
26106,35396,67070
26145,35416,67070
26179,35405,67070
26283,35438,67070
26593,35403,67070
26666,35412,67070
27091,35434,67070
27495,35451,67070
19232,35472,67070
19769,35485,67070
19896,35463,67070
20042,35516,67070
20141,35480,67070
20128,35511,67070
20109,35490,67070
20099,35519,67070
20220,35494,67070
20179,35510,67070
20249,35475,67070
20285,35508,67070
20361,35501,67070
20424,35456,67070
20552,35459,67070
20819,35494,67070
20920,35479,67070
20979,35518,67070
20979,35463,67070
21014,35479,67070
21080,35508,67070
21239,35471,67070
21189,35503,67070
21213,35504,67070
21286,35475,67070
21334,35473,67070
21329,35513,67070
21406,35462,67070
21587,35463,67070
22249,35490,67070
24117,35492,67070
24169,35468,67070
24225,35503,67070
24286,35491,67070
24326,35457,67070
24405,35482,67070
24503,35462,67070
24832,35495,67070
25105,35494,67070
25836,35494,67070
26068,35479,67070
26075,35515,67070
26175,35510,67070
26114,35504,67070
26119,35458,67070
26157,35464,67070
26703,35519,67070
19201,35578,67070
19784,35569,67070
19844,35541,67070
20094,35569,67070
20151,35555,67070
20247,35547,67070
20319,35579,67070
20487,35549,67070
20576,35524,67070
20654,35528,67070
20732,35549,67070
20794,35553,67070
20839,35555,67070
20897,35536,67070
20961,35572,67070
21046,35536,67070
21020,35568,67070
21065,35582,67070
21113,35554,67070
21167,35529,67070
21167,35574,67070
21213,35572,67070
21297,35562,67070
21264,35523,67070
21351,35572,67070
21467,35569,67070
21619,35569,67070
21794,35524,67070
22160,35566,67070
22635,35573,67070
24171,35527,67070
24148,35578,67070
24239,35576,67070
24303,35572,67070
24332,35523,67070
24491,35561,67070
24618,35565,67070
24722,35537,67070
